class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.7083333333333334,0.8947368421052632,0.7906976744186046,19
Glass,0.0,0.0,0.0,2
K-Feldspar,1.0,0.75,0.8571428571428571,4
Olivine,1.0,0.8,0.8888888888888888,5
Other Silicates,0.6363636363636364,0.4117647058823529,0.5,17
Oxides/Hydroxides,0.5,0.375,0.42857142857142855,8
Phosphate,0.5,0.6428571428571429,0.5625,14
Phyllosilicates,0.5,0.5882352941176471,0.5405405405405406,17
Plagioclase,0.7,1.0,0.8235294117647058,7
Pyroxene,0.9523809523809523,0.8333333333333334,0.8888888888888888,24
Silica Phase,1.0,1.0,1.0,2
Sulfate,0.8461538461538461,0.7857142857142857,0.8148148148148148,14
