spectrum_id,file_name,rruff_official_id,rruff_official_name,rruff_url,excitation_nm,rruff_status,label_category_final,split_v3,qc_status,qc_reason,recommended_action,provenance_confidence
PARENT_0317,Colemanite__R050102__Raman__514__0__unoriented__Raman_Data_RAW__10079,R050102,Colemanite,https://rruff.info/R050102,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0318,Colemanite__R050102__Raman__532__0__unoriented__Raman_Data_RAW__26996,R050102,Colemanite,https://rruff.info/R050102,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0319,Colemanite__R050102__Raman__780__0__unoriented__Raman_Data_RAW__26998,R050102,Colemanite,https://rruff.info/R050102,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0320,Colemanite__X050040__Raman__785__0__unoriented__Raman_Data_Processed__6467,X050040,Colemanite,https://rruff.info/X050040,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Borate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0321,Colemanite__R050331__Raman__532__0__unoriented__Raman_Data_RAW__28919,R050331,Colemanite,https://rruff.info/R050331,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0322,Colemanite__R050331__Raman__780__0__unoriented__Raman_Data_RAW__28916,R050331,Colemanite,https://rruff.info/R050331,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0323,Kernite__R050661__Raman__532__0__unoriented__Raman_Data_RAW__32852,R050661,Kernite,https://rruff.info/R050661,532.0,The identification of this mineral has been confirmed by X-ray diffraction.,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0324,Ulexite__R050062__Raman__514__0__unoriented__Raman_Data_RAW__11042,R050062,Ulexite,https://rruff.info/R050062,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0325,Ulexite__R050062__Raman__785__0__unoriented__Raman_Data_RAW__21225,R050062,Ulexite,https://rruff.info/R050062,785.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0326,Ulexite__X050174__Raman__785__0__unoriented__Raman_Data_Processed__6712.rruff,X050174,Ulexite,https://rruff.info/X050174,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0327,Ulexite__R050491__Raman__532__0__unoriented__Raman_Data_RAW__31647,R050491,Ulexite,https://rruff.info/R050491,532.0,The identification of this mineral has been confirmed by X-ray diffraction.,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0328,Ulexite__R050491__Raman__780__0__unoriented__Raman_Data_RAW__31649,R050491,Ulexite,https://rruff.info/R050491,780.0,The identification of this mineral has been confirmed by X-ray diffraction.,Borate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0329,Aragonite__R040078__Raman__514__0__unoriented__Raman_Data_RAW__9444,R040078,Aragonite,https://rruff.info/R040078,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0330,Aragonite__R040078__Raman__532__0__unoriented__Raman_Data_RAW__15665,R040078,Aragonite,https://rruff.info/R040078,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0331,Aragonite__R040078__Raman__785__0__unoriented__Raman_Data_RAW__15667,R040078,Aragonite,https://rruff.info/R040078,785.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0332,Aragonite__X050023__Raman__785__0__unoriented__Raman_Data_Processed__6459,X050023,Aragonite,https://rruff.info/X050023,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0333,Aragonite__R060195__Raman__532__0__unoriented__Raman_Data_RAW__33276,R060195,Aragonite,https://rruff.info/R060195,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0334,Aragonite__R060195__Raman__780__0__unoriented__Raman_Data_RAW__33278,R060195,Aragonite,https://rruff.info/R060195,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0335,Aragonite__R080142__Raman__532__0__unoriented__Raman_Data_RAW__30672,R080142,Aragonite,https://rruff.info/R080142,532.0,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0336,Aragonite__R080142__Raman__780__0__unoriented__Raman_Data_RAW__30670,R080142,Aragonite,https://rruff.info/R080142,780.0,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0337,Aragonite__R150021__Raman__532__0__unoriented__Raman_Data_RAW__38864,R150021,Aragonite,https://rruff.info/R150021,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
