,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,0.5,0.75,0.6,4.0
Olivine,1.0,0.6,0.75,5.0
Other Silicates,0.6875,0.6470588235294118,0.6666666666666666,17.0
Oxides/Hydroxides,1.0,0.5,0.6666666666666666,8.0
Phosphate,0.875,0.5,0.6363636363636364,14.0
Phyllosilicates,0.46153846153846156,0.7058823529411765,0.5581395348837209,17.0
Plagioclase,0.7,1.0,0.8235294117647058,7.0
Pyroxene,0.9545454545454546,0.875,0.9130434782608695,24.0
Silica Phase,0.6666666666666666,1.0,0.8,2.0
Sulfate,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0
accuracy,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.7518796992481203
macro avg,0.6580308391959976,0.6462499574728676,0.6286183069957337,133.0
weighted avg,0.7862887585410805,0.7518796992481203,0.7495734885167299,133.0
