,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.9047619047619048,1.0,0.95,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,0.75,0.75,0.75,4.0
Olivine,0.8,0.8,0.8,5.0
Other Silicates,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0
Oxides/Hydroxides,0.4444444444444444,0.5,0.47058823529411764,8.0
Phosphate,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
Phyllosilicates,0.47619047619047616,0.5882352941176471,0.5263157894736842,17.0
Plagioclase,0.7777777777777778,1.0,0.875,7.0
Pyroxene,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Silica Phase,0.5,1.0,0.6666666666666666,2.0
Sulfate,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
accuracy,0.7669172932330827,0.7669172932330827,0.7669172932330827,0.7669172932330827
macro avg,0.6300671550671552,0.6625673346261581,0.633796479095192,133.0
weighted avg,0.7811791383219955,0.7669172932330827,0.7645389173124512,133.0
