class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.8571428571428571,0.631578947368421,0.7272727272727273,19
Glass,0.0,0.0,0.0,2
K-Feldspar,1.0,0.75,0.8571428571428571,4
Olivine,0.4444444444444444,0.8,0.5714285714285714,5
Other Silicates,0.47368421052631576,0.5294117647058824,0.5,17
Oxides/Hydroxides,0.6,0.375,0.46153846153846156,8
Phosphate,0.8571428571428571,0.42857142857142855,0.5714285714285714,14
Phyllosilicates,0.5625,0.5294117647058824,0.5454545454545454,17
Plagioclase,0.7,1.0,0.8235294117647058,7
Pyroxene,0.9230769230769231,1.0,0.96,24
Silica Phase,0.3333333333333333,0.5,0.4,2
Sulfate,0.47619047619047616,0.7142857142857143,0.5714285714285714,14
