label_category_final,domain_adaptation_only,mlrod_test,mlrod_train,mlrod_val,sherloc_external_validation,sherloc_finetune_pool,test,train,val
,36,0,0,0,0,0,0,0,0
Borate,0,0,0,0,0,0,0,14,1
Carbonate,0,503,4026,503,0,151,19,82,23
Clay,0,0,0,0,0,0,11,45,11
Glass,0,0,0,0,0,0,2,1,0
Halides,0,0,0,0,0,0,4,10,3
K-Feldspar,0,559,4482,559,0,0,4,38,5
Mica,0,0,0,0,0,0,5,41,6
Olivine,0,614,4912,614,0,125,5,133,15
Other Silicate,0,0,0,0,0,38,0,0,0
Other Silicates,0,504,4046,504,0,0,17,82,17
Oxides/Hydroxides,0,0,0,0,0,0,8,131,7
Perchlorate,0,0,0,0,0,3,0,0,0
Phosphate,0,0,0,0,1,0,14,28,5
Phyllosilicates,0,1382,11061,1382,0,0,0,100,0
Plagioclase,0,1257,10061,1257,0,0,7,143,8
Pyroxene,0,1170,9363,1170,0,2,24,309,20
Serpentine,0,0,0,0,0,0,1,10,3
Silica Phase,0,1001,8029,1002,0,0,2,138,8
Sulfate,0,500,4000,500,30,380,14,138,5
