spectrum_id,file_name_clean,major_category,subtype_label,source_type,source_id,parent_group,split_main,split_zero_shot_protocol,qc_status
PARENT_0000,Diopside__R040009__Raman__532__0__unoriented__Raman_Data_RAW__26213,Pyroxene,Diopside,RRUFF database,R040009,RRUFF database__R040009,train,earth_train_pool,include_pending_manual_review
PARENT_0001,Diopside__R040009__Raman__514__0__unoriented__Raman_Data_RAW__10295,Pyroxene,Diopside,RRUFF database,R040009,RRUFF database__R040009,train,earth_train_pool,include_pending_manual_review
PARENT_0002,Diopside__R040009__Raman__780__0__unoriented__Raman_Data_RAW__26211,Pyroxene,Diopside,RRUFF database,R040009,RRUFF database__R040009,train,earth_train_pool,include_pending_manual_review
PARENT_0003,Diopside__R040097__Raman__532__0__unoriented__Raman_Data_RAW__24829,Pyroxene,Diopside,RRUFF database,R040097,RRUFF database__R040097,train,earth_train_pool,include_pending_manual_review
PARENT_0004,Diopside__R040097__Raman__780__0__unoriented__Raman_Data_RAW__24831,Pyroxene,Diopside,RRUFF database,R040097,RRUFF database__R040097,train,earth_train_pool,include_pending_manual_review
PARENT_0005,Diopside__X050056.3__Raman__785__0__unoriented__Raman_Data_Processed__6473,Pyroxene,Diopside,RRUFF database,X050056.3,RRUFF database__X050056.3,train,earth_train_pool,include_pending_manual_review
PARENT_0006,Diopside__X050056.4__Raman__785__0__unoriented__Raman_Data_Processed__6474,Pyroxene,Diopside,RRUFF database,X050056.4,RRUFF database__X050056.4,train,earth_train_pool,include_pending_manual_review
PARENT_0007,Diopside__X050057.3__Raman__785__0__unoriented__Raman_Data_Processed__6475,Pyroxene,Diopside,RRUFF database,X050057.3,RRUFF database__X050057.3,train,earth_train_pool,include_pending_manual_review
PARENT_0008,Diopside__X050058.3__Raman__785__0__unoriented__Raman_Data_Processed__6477,Pyroxene,Diopside,RRUFF database,X050058.3,RRUFF database__X050058.3,train,earth_train_pool,include_pending_manual_review
PARENT_0009,Diopside__X050059__Raman__785__0__unoriented__Raman_Data_Processed__6479,Pyroxene,Diopside,RRUFF database,X050059,RRUFF database__X050059,val,earth_train_pool,include_pending_manual_review
PARENT_0010,Diopside__X050060__Raman__514__0__unoriented__Raman_Data_RAW__6525,Pyroxene,Diopside,RRUFF database,X050060,RRUFF database__X050060,train,earth_train_pool,include_pending_manual_review
PARENT_0011,Diopside__R050406__Raman__532__0__unoriented__Raman_Data_RAW__30047,Pyroxene,Diopside,RRUFF database,R050406,RRUFF database__R050406,train,earth_train_pool,include_pending_manual_review
PARENT_0012,Diopside__R050406__Raman__780__0__unoriented__Raman_Data_RAW__30049,Pyroxene,Diopside,RRUFF database,R050406,RRUFF database__R050406,train,earth_train_pool,include_pending_manual_review
PARENT_0013,Diopside__R050496__Raman__532__0__unoriented__Raman_Data_RAW__32237,Pyroxene,Diopside,RRUFF database,R050496,RRUFF database__R050496,val,earth_train_pool,include_pending_manual_review
PARENT_0014,Diopside__R050496__Raman__780__0__unoriented__Raman_Data_RAW__32239,Pyroxene,Diopside,RRUFF database,R050496,RRUFF database__R050496,val,earth_train_pool,include_pending_manual_review
PARENT_0015,Diopside__R050666__Raman__532__0__unoriented__Raman_Data_RAW__32868,Pyroxene,Diopside,RRUFF database,R050666,RRUFF database__R050666,train,earth_train_pool,include_pending_manual_review
PARENT_0016,Diopside__R050666__Raman__780__0__unoriented__Raman_Data_RAW__32870,Pyroxene,Diopside,RRUFF database,R050666,RRUFF database__R050666,train,earth_train_pool,include_pending_manual_review
PARENT_0017,Diopside__R060061__Raman__532__0__unoriented__Raman_Data_RAW__27056,Pyroxene,Diopside,RRUFF database,R060061,RRUFF database__R060061,val,earth_train_pool,include_pending_manual_review
PARENT_0018,Diopside__R060061__Raman__780__0__unoriented__Raman_Data_RAW__27054,Pyroxene,Diopside,RRUFF database,R060061,RRUFF database__R060061,val,earth_train_pool,include_pending_manual_review
