status,spectrum_id,region,target,sheet_name,scan_name,point_name,label_column,raw_label,major_category,paper_table1_superclass,paper_table1_superclass_candidates,label_status,training_label_usable,spectrum_file,ss_raman_file
exported,SHERLOC_REGION_0000,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_0,minerall_type1,carbonate,Carbonate,Carbonate,Carbonate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_0_label1_Carbonate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0001,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_1,minerall_type1,carbonate,Carbonate,Carbonate,Carbonate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_1_label1_Carbonate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0002,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_2,minerall_type1,carbonate,Carbonate,Carbonate,Carbonate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_2_label1_Carbonate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0003,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_3,minerall_type1,carbonate,Carbonate,Carbonate,Carbonate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_3_label1_Carbonate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0004,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_4,minerall_type1,carbonate,Carbonate,Carbonate,Carbonate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_4_label1_Carbonate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0005,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_5,minerall_type1,carbonate,Carbonate,Carbonate,Carbonate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_5_label1_Carbonate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0006,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_5,minerall_type2,sulfate,Sulfate,Sulfate,Sulfate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_5_label2_Sulfate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0007,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_6,minerall_type1,sulfate,Sulfate,Sulfate,Sulfate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_6_label1_Sulfate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0008,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_7,minerall_type1,sulfate,Sulfate,Sulfate,Sulfate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_7_label1_Sulfate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
exported,SHERLOC_REGION_0009,dourbes,Dourbes,detail_500_1.1,0269_Dourbes Detail_500_1,Point_9,minerall_type1,carbonate,Carbonate,Carbonate,Carbonate,supported_table1_closed_set,True,D:\dyt\raman\pigeonite\data\sherloc_corpolongo_region_spectra\SHERLOC_dourbes_detail_500_1.1_Point_9_label1_Carbonate.csv,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv
