dataset_membership,spectrum_id,local_spectrum_path,local_source_file,region,target,scan_name,sheet_name,point_name,mineral_label,major_category,label_basis,reference,product_stem,pds_product_lid,pds_csv_url,pds_label_url,pds_raw_product_lids,pds_intermediate_product_lids,pds_start_date_time,pds_stop_date_time,sol,sclk,sub_sclk,site,drive,sequence,experiment_id,aci_image_number,processing_flags_description
parent_945_sherloc_rows,PARENT_0780,data/spectra/parent/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-28.csv,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-28,bellegarde,Bellegarde,,,28,Anhydrite,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0186_0683477446_620epa__0070000srlc10500_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0186_0683477446_620rrs__0070000srlc10500w208cg_j.csv,2021-08-29T02:54:25.932Z,2021-08-29T03:05:07.532Z,0186,0683477446,620,007,0000,srlc10500,2,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0781,data/spectra/parent/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-17.csv,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-17,bellegarde,Bellegarde,,,17,Anhydrite,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0186_0683477446_620epa__0070000srlc10500_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0186_0683477446_620rrs__0070000srlc10500w208cg_j.csv,2021-08-29T02:54:25.932Z,2021-08-29T03:05:07.532Z,0186,0683477446,620,007,0000,srlc10500,2,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0782,data/spectra/parent/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-83.csv,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-83,bellegarde,Bellegarde,,,83,Anhydrite,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0186_0683477446_620epa__0070000srlc10500_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0186_0683477446_620rrs__0070000srlc10500w208cg_j.csv,2021-08-29T02:54:25.932Z,2021-08-29T03:05:07.532Z,0186,0683477446,620,007,0000,srlc10500,2,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0783,data/spectra/parent/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-89.csv,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04_Region1_Raman-89,bellegarde,Bellegarde,,,89,Phosphate,Phosphate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00186/ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0186_0683477446_620epa__0070000srlc10500_208___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0186_0683477446_620rrs__0070000srlc10500w208cg_j.csv,2021-08-29T02:54:25.932Z,2021-08-29T03:05:07.532Z,0186,0683477446,620,007,0000,srlc10500,2,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0784,data/spectra/parent/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-19.csv,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-19,quartier,Quartier,,,19,Gypsum,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0304_0693963943_980epa__0090000srlc11374_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0304_0693963943_980rrs__0090000srlc11374w108cg_j.csv,2021-12-28T11:50:46.033Z,2021-12-28T12:01:20.198Z,0304,0693963943,980,009,0000,srlc11374,1,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0785,data/spectra/parent/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-20.csv,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-20,quartier,Quartier,,,20,Gypsum,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0304_0693963943_980epa__0090000srlc11374_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0304_0693963943_980rrs__0090000srlc11374w108cg_j.csv,2021-12-28T11:50:46.033Z,2021-12-28T12:01:20.198Z,0304,0693963943,980,009,0000,srlc11374,1,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0786,data/spectra/parent/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-27.csv,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-27,quartier,Quartier,,,27,Gypsum,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0304_0693963943_980epa__0090000srlc11374_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0304_0693963943_980rrs__0090000srlc11374w108cg_j.csv,2021-12-28T11:50:46.033Z,2021-12-28T12:01:20.198Z,0304,0693963943,980,009,0000,srlc11374,1,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0787,data/spectra/parent/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-28.csv,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-28,quartier,Quartier,,,28,Gypsum,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0304_0693963943_980epa__0090000srlc11374_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0304_0693963943_980rrs__0090000srlc11374w108cg_j.csv,2021-12-28T11:50:46.033Z,2021-12-28T12:01:20.198Z,0304,0693963943,980,009,0000,srlc11374,1,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0788,data/spectra/parent/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-29.csv,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-29,quartier,Quartier,,,29,Anhydrite,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0304_0693963943_980epa__0090000srlc11374_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0304_0693963943_980rrs__0090000srlc11374w108cg_j.csv,2021-12-28T11:50:46.033Z,2021-12-28T12:01:20.198Z,0304,0693963943,980,009,0000,srlc11374,1,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
parent_945_sherloc_rows,PARENT_0789,data/spectra/parent/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-31.csv,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02_Region1_Raman-31,quartier,Quartier,,,31,Gypsum,Sulfate,Published SHERLOC mineral interpretation and/or PDS product annotation; do not use for zero-shot training,NASA Planetary Data System; SHERLOC mission literature,ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,urn:nasa:pds:mars2020_sherloc:data_processed:ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_sherloc/data_processed/sol_00304/ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.xml,urn:nasa:pds:mars2020_sherloc:data_raw:ss__0304_0693963943_980epa__0090000srlc11374_108___j.csv,urn:nasa:pds:mars2020_sherloc:data_intermediate:ss__0304_0693963943_980rrs__0090000srlc11374w108cg_j.csv,2021-12-28T11:50:46.033Z,2021-12-28T12:01:20.198Z,0304,0693963943,980,009,0000,srlc11374,1,08,wavelength correction applied; cosmic-ray correction applied; gain correction applied; laser normalization applied
