class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.9473684210526315,0.9473684210526315,0.9473684210526315,19
Glass,0.0,0.0,0.0,2
K-Feldspar,1.0,1.0,1.0,4
Olivine,1.0,0.8,0.8888888888888888,5
Other Silicates,1.0,0.5882352941176471,0.7407407407407407,17
Oxides/Hydroxides,0.42857142857142855,0.375,0.4,8
Phosphate,0.8888888888888888,0.5714285714285714,0.6956521739130435,14
Phyllosilicates,0.5714285714285714,0.47058823529411764,0.5161290322580645,17
Plagioclase,0.7,1.0,0.8235294117647058,7
Pyroxene,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
Silica Phase,0.4,1.0,0.5714285714285714,2
Sulfate,0.65,0.9285714285714286,0.7647058823529411,14
