class,precision,recall,f1,support
Borate,0.0,0.0,0.0,0
Carbonate,0.9,0.9473684210526315,0.9230769230769231,19
Glass,0.0,0.0,0.0,2
K-Feldspar,0.6666666666666666,1.0,0.8,4
Olivine,1.0,0.8,0.8888888888888888,5
Other Silicates,0.8,0.47058823529411764,0.5925925925925926,17
Oxides/Hydroxides,0.6666666666666666,0.5,0.5714285714285714,8
Phosphate,0.9,0.6428571428571429,0.75,14
Phyllosilicates,0.5625,0.5294117647058824,0.5454545454545454,17
Plagioclase,0.7,1.0,0.8235294117647058,7
Pyroxene,0.88,0.9166666666666666,0.8979591836734694,24
Silica Phase,0.5,1.0,0.6666666666666666,2
Sulfate,0.6,0.8571428571428571,0.7058823529411765,14
