,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.9,0.9473684210526315,0.9230769230769231,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,0.6666666666666666,1.0,0.8,4.0
Olivine,1.0,0.8,0.8888888888888888,5.0
Other Silicates,0.8,0.47058823529411764,0.5925925925925926,17.0
Oxides/Hydroxides,0.6666666666666666,0.5,0.5714285714285714,8.0
Phosphate,0.9,0.6428571428571429,0.75,14.0
Phyllosilicates,0.5625,0.5294117647058824,0.5454545454545454,17.0
Plagioclase,0.7,1.0,0.8235294117647058,7.0
Pyroxene,0.88,0.9166666666666666,0.8979591836734694,24.0
Silica Phase,0.5,1.0,0.6666666666666666,2.0
Sulfate,0.6,0.8571428571428571,0.7058823529411765,14.0
accuracy,0.7443609022556391,0.7443609022556391,0.7443609022556391,0.7443609022556391
macro avg,0.6289102564102564,0.6664642375168691,0.6281137797298106,133.0
weighted avg,0.7615225563909775,0.7443609022556391,0.737838710271894,133.0
