materialized_spectrum_id,parent_spectrum_id,model_label,subtype_label,source_type,source_id,split_main,is_augmented,materialized_file_path,materialized_file_sha256,augmentation_seed,augmentation_parameters_json
PARENT_0000,PARENT_0000,Pyroxene,Diopside,RRUFF database,R040009,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0000__original.csv,3da5b83a75c9b5a3cef386da5a1508e41baa75007a3fb79f317c363b3cf03c2a,,
PARENT_0001,PARENT_0001,Pyroxene,Diopside,RRUFF database,R040009,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0001__original.csv,96c721972cefbe9a43dcf976e15bdf8b40fe5bb800e887d8980ab64e09cab2af,,
PARENT_0002,PARENT_0002,Pyroxene,Diopside,RRUFF database,R040009,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0002__original.csv,c3dd9bc3f6b2e0822af25ad91d7ca5133a1caf6ccf8ca9bb91b71ae3a52e9e0d,,
PARENT_0003,PARENT_0003,Pyroxene,Diopside,RRUFF database,R040097,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0003__original.csv,5237de56765f820766c23a639bed321a11070f8bb035456f5f382ee5520a6106,,
PARENT_0004,PARENT_0004,Pyroxene,Diopside,RRUFF database,R040097,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0004__original.csv,cb58e8f43635f351ec38f9a68b578841e37e0e6f47286426e95f366fab639393,,
PARENT_0005,PARENT_0005,Pyroxene,Diopside,RRUFF database,X050056.3,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0005__original.csv,50563eaefa7868e7625d47b59d7e2714ce315a5f728a06b602530a499cf49a83,,
PARENT_0006,PARENT_0006,Pyroxene,Diopside,RRUFF database,X050056.4,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0006__original.csv,e363f94a9929465bb3a7c00a59c50dabf07db100d4d574e6fdae91447a722ca3,,
PARENT_0007,PARENT_0007,Pyroxene,Diopside,RRUFF database,X050057.3,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0007__original.csv,9b5671ced01f5b52be9390edda8aa736ec9aacbabbcfe01b9782ec9e9d83f050,,
PARENT_0008,PARENT_0008,Pyroxene,Diopside,RRUFF database,X050058.3,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0008__original.csv,dd6e9463414d9eb69b3ac0d0feae9ea68814be575fd4cca0ae9471a07252d3b0,,
PARENT_0009,PARENT_0009,Pyroxene,Diopside,RRUFF database,X050059,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0009__original.csv,e141d3e0edadd8d16ad17d06d24ea935ffa56c3e5fb2c27131402a1427b07af8,,
