Wave,QtzAlb
96.5973,12581.5
97.4635,12601.7
98.3318,12512.2
99.1979,12509.5
100.066,12656.5
100.932,12835.5
101.8,13169.9
102.668,13462.3
103.534,13816.5
104.401,14092.7
105.267,14330.5
106.134,14481.1
107,14673.4
107.867,14897.1
108.734,15150
109.6,15427.3
110.467,15733
111.332,16089.6
112.199,16469
113.063,16920.2
113.93,17136.2
114.795,17258.9
115.662,17316.8
116.526,17355.4
117.393,17439.7
118.257,17519.9
119.123,17635.5
119.988,17807.1
120.852,17982.2
121.718,17774.6
122.582,17579.7
123.448,17347.1
124.311,17111.8
125.177,16987.1
126.041,16866.8
126.904,16759.1
127.77,16658.2
128.633,16564
129.499,16476.2
130.362,16394.3
131.225,16317.9
132.09,16267.5
132.953,16239.8
133.818,16254.9
134.681,16292.9
135.544,16392.9
136.408,16460.7
137.271,16488.4
138.133,16482.8
138.998,16407.9
139.86,16362.4
140.722,16343.2
141.587,16395.2
142.449,16439.8
143.311,16477.9
144.175,16511
145.037,16512.2
145.898,16488
146.762,16453.6
147.624,16437
148.485,16454.5
149.347,16517.8
150.21,16606.1
151.072,16688.7
151.933,16785.1
152.794,16854.3
153.657,16912.6
154.518,16903.5
155.379,16928.4
156.24,17030.4
157.103,17257.3
157.963,17385.8
158.824,17491.6
159.684,17594.2
160.545,17669.7
161.407,17717.8
162.267,17749.4
163.128,17768.5
163.988,17795
164.848,17830.2
165.71,17858.2
166.57,17887.4
167.429,17916.5
168.289,17946.5
169.149,17962.6
170.008,17901.1
170.868,17859.5
171.729,17818.9
172.588,17793.1
173.448,17763
174.307,17723.5
175.166,17690.1
176.025,17660.4
176.884,17636.7
177.742,17621.7
178.601,17604.2
179.462,17588.1
180.321,17565.6
181.179,17541.7
182.038,17504.9
182.896,17481.2
183.754,17481.4
184.612,17488.5
185.47,17501.1
186.328,17493.9
187.186,17477.7
188.044,17452.9
188.902,17420.2
189.76,17380.1
190.617,17332.2
191.475,17277.2
192.332,17210.2
193.19,17142.5
194.047,17169.8
194.904,17216.9
195.762,17271.2
196.619,17322.4
197.476,17262.5
198.333,17232.7
199.189,17190.5
200.046,17134.9
200.903,17067
201.759,17008.1
202.616,16976.6
203.47,16972.1
204.327,16963.6
205.183,16954
206.039,16943.3
206.895,16933.1
207.751,16851.8
208.607,16740.4
209.463,16628.5
210.319,16555.4
211.173,16529.3
212.028,16526.4
212.884,16517.5
213.739,16502.1
214.595,16500.7
215.45,16496.5
216.305,16486.5
217.159,16469.9
218.014,16448
218.869,16420
219.724,16385
220.578,16344.3
221.431,16293.8
222.286,16237.5
223.141,16175.1
223.995,16111.5
224.85,16083.1
225.702,16052.9
226.556,16085
227.41,16104.5
