spectrum_id,source_type_normalized,training_role,split_v2,label_category_final,mineral_species_final,raman_qc_decision,raman_qc_reason,qc_snr_robust,qc_band_count,qc_top_band_prominence,qc_continuum_fraction,qc_spike_fraction,rruff_status,file_path
PARENT_0825,Lab-acquired DUV spectra,duv_supervised_reference,train,Borate,Colemanite,main_training_keep,passes_provenance_and_spectral_quality_checks,593827860000000.0,5,0.9999999999999983,0.022170956068061038,0.0,,d:\dyt\raman\pigeonite\data\DUV-Colemanite.csv
PARENT_0843,Lab-acquired DUV spectra,duv_supervised_reference,train,Borate,Kernite,main_training_keep,passes_provenance_and_spectral_quality_checks,181992598200000.25,4,0.9999999999999956,0.004030153923912379,0.0,,d:\dyt\raman\pigeonite\data\DUV-Kernite.csv
PARENT_0871,Lab-acquired DUV spectra,duv_supervised_reference,train,Borate,Ulexite,main_training_keep,passes_provenance_and_spectral_quality_checks,226982353900000.12,5,0.9999999999999958,0.004620864232051475,0.0,,d:\dyt\raman\pigeonite\data\DUV-Ulexite.csv
PARENT_0815,Lab-acquired DUV spectra,duv_supervised_reference,test,Carbonate,Aragonite,main_training_keep,passes_provenance_and_spectral_quality_checks,72457164199999.3,1,0.9926554957963091,3.922553379532328e-16,0.0,,d:\dyt\raman\pigeonite\data\DUV-Aragonite.csv
PARENT_0822,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Calcite,main_training_keep,passes_provenance_and_spectral_quality_checks,96510420999999.95,3,0.9940150195001823,0.00994011953109567,0.0,,d:\dyt\raman\pigeonite\data\DUV-Calcite.csv
PARENT_0823,Lab-acquired DUV spectra,duv_supervised_reference,test,Carbonate,Chalk,main_training_keep,passes_provenance_and_spectral_quality_checks,83524351599999.25,5,0.9999999999999906,0.003929471881003356,0.0,,d:\dyt\raman\pigeonite\data\DUV-Chalk.csv
PARENT_0827,Lab-acquired DUV spectra,duv_supervised_reference,val,Carbonate,Dolomite,main_training_keep,passes_provenance_and_spectral_quality_checks,84515655199999.92,8,0.9999999999999906,0.010103596341557,0.0,,d:\dyt\raman\pigeonite\data\DUV-Dolomite.csv
PARENT_0846,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Magnesite,main_training_keep,passes_provenance_and_spectral_quality_checks,76698522400000.0,2,0.9999999999999903,0.0004984418755505939,0.0,,d:\dyt\raman\pigeonite\data\DUV-Magnesite.csv
PARENT_0855,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Carbonate,Nahcolite,manual_review_keep_in_metadata,high_cosmic_spike_or_discontinuity_fraction,193.14267559909433,4,0.9999999999999882,0.03377516146614446,0.13653136531365315,,d:\dyt\raman\pigeonite\data\DUV-Nahcolite.csv
PARENT_0863,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Rhodochrosite,main_training_keep,passes_provenance_and_spectral_quality_checks,86384970000000.06,3,0.9838052735437341,3.948146456088861e-15,0.0,,d:\dyt\raman\pigeonite\data\DUV-Rhodochrosite.csv
PARENT_0866,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Siderite,main_training_keep,passes_provenance_and_spectral_quality_checks,48.15792894352069,46,0.9999999999999917,0.035073084938080916,0.003929273084479371,,d:\dyt\raman\pigeonite\data\DUV-Siderite.csv
PARENT_0870,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Trona,main_training_keep,passes_provenance_and_spectral_quality_checks,87475400499999.98,5,0.9999999999999905,0.002597684005515788,0.0,,d:\dyt\raman\pigeonite\data\DUV-Trona.csv
PARENT_0882,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Aragonite1,main_training_keep,passes_provenance_and_spectral_quality_checks,19.17598599500222,3,0.9996243501715555,0.0007325036145742893,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Aragonite1.csv
PARENT_0883,Lab-acquired DUV spectra,duv_supervised_reference,test,Carbonate,Calcite1,main_training_keep,passes_provenance_and_spectral_quality_checks,22.800956809764102,3,0.9996319708180068,0.002959650336643182,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Calcite1.csv
PARENT_0884,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Chalk1,main_training_keep,passes_provenance_and_spectral_quality_checks,29.602540839807226,4,0.999999999998998,0.001849124913068691,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Chalk1.csv
PARENT_0885,Lab-acquired DUV spectra,duv_supervised_reference,test,Carbonate,Dolomite1,main_training_keep,passes_provenance_and_spectral_quality_checks,32.55684759672827,3,0.9967949065075903,0.002356114806797412,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Dolomite1.csv
PARENT_0886,Lab-acquired DUV spectra,duv_supervised_reference,test,Carbonate,Magnesite1,main_training_keep,passes_provenance_and_spectral_quality_checks,21.059938311224002,3,0.9987143419356199,0.0015394501030820084,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Magnesite1.csv
PARENT_0887,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Nacholite1,main_training_keep,passes_provenance_and_spectral_quality_checks,50.39300413867794,4,0.9949088717661871,0.001457369366268543,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Nacholite1.csv
PARENT_0888,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Rhodochrosite1,main_training_keep,passes_provenance_and_spectral_quality_checks,31.95409253933622,3,0.9995508310663447,0.001841832282694298,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Rhodochrosite1.csv
PARENT_0889,Lab-acquired DUV spectra,duv_supervised_reference,train,Carbonate,Siderite1,main_training_keep,passes_provenance_and_spectral_quality_checks,4.6630783440003665,245,0.9890209947447459,0.019023431905158535,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Siderite1.csv
PARENT_0890,Lab-acquired DUV spectra,duv_supervised_reference,val,Carbonate,Trona1,main_training_keep,passes_provenance_and_spectral_quality_checks,51.626340983371044,5,0.9183654020724233,0.010899221892776879,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Trona1.csv
PARENT_0824,Lab-acquired DUV spectra,duv_supervised_reference,test,Clay,Chlorite,main_training_keep,passes_provenance_and_spectral_quality_checks,13.206387043967325,4,0.9999999999999881,0.07041837212038683,0.0,,d:\dyt\raman\pigeonite\data\DUV-Chlorite.csv
PARENT_0840,Lab-acquired DUV spectra,duv_supervised_reference,train,Clay,Illite,main_training_keep,passes_provenance_and_spectral_quality_checks,75.35605737133932,42,0.9999999999999936,0.04185112514440963,0.0005390835579514825,,d:\dyt\raman\pigeonite\data\DUV-Illite.csv
PARENT_0842,Lab-acquired DUV spectra,duv_supervised_reference,test,Clay,Kaolinite,main_training_keep,passes_provenance_and_spectral_quality_checks,106.3002111188402,19,0.9999999999999937,0.013293423899025662,0.0010384215991692627,,d:\dyt\raman\pigeonite\data\DUV-Kaolinite.csv
PARENT_0852,Lab-acquired DUV spectra,duv_supervised_reference,train,Clay,Montmorillonite,main_training_keep,passes_provenance_and_spectral_quality_checks,142.1266003603391,43,0.9999999999999925,0.0845715686239618,0.008086253369272238,,d:\dyt\raman\pigeonite\data\DUV-Montmorillonite.csv
